2023-11-21 09:40:58,633 - INFO - Config:
data:
  train:
    info_path: "./dataset/train"
    batch_size: 250
    num_workers: 0
    shuffle: True
  val:
    info_path: "./dataset/val"
    batch_size: 5
    num_workers: 0
    shuffle: True

optimizer:
  type: 'Adam'
  lr: 0.004  

checkpoint: 

epoch: 128
val_epoch: 50
step_epoch: 20
work_dir: "./work_dir"

2023-11-21 09:41:27,184 - INFO - Epoch [4/128][5/20], lr:0.004, eta: 0:17:52, data_time: 0.22, iter_time: 0.22, loss: 0.0521
2023-11-21 09:41:27,476 - INFO - Epoch [4/128][6/20], lr:0.004, eta: 0:17:44, data_time: 0.20, iter_time: 0.21, loss: 0.8430
2023-11-21 09:41:27,781 - INFO - Epoch [4/128][7/20], lr:0.004, eta: 0:17:48, data_time: 0.22, iter_time: 0.22, loss: 0.4935
2023-11-21 09:41:28,103 - INFO - Epoch [4/128][8/20], lr:0.004, eta: 0:18:02, data_time: 0.23, iter_time: 0.24, loss: 0.1521
2023-11-21 09:41:28,429 - INFO - Epoch [4/128][9/20], lr:0.004, eta: 0:18:15, data_time: 0.24, iter_time: 0.24, loss: 0.0972
2023-11-21 09:41:28,729 - INFO - Epoch [4/128][10/20], lr:0.004, eta: 0:18:12, data_time: 0.21, iter_time: 0.22, loss: 0.0908
2023-11-21 09:41:29,026 - INFO - Epoch [4/128][11/20], lr:0.004, eta: 0:18:07, data_time: 0.21, iter_time: 0.21, loss: 0.1469
2023-11-21 09:41:29,343 - INFO - Epoch [4/128][12/20], lr:0.004, eta: 0:18:10, data_time: 0.22, iter_time: 0.23, loss: 0.4138
2023-11-21 09:41:29,636 - INFO - Epoch [4/128][13/20], lr:0.004, eta: 0:18:04, data_time: 0.20, iter_time: 0.21, loss: 0.2141
2023-11-21 09:41:29,943 - INFO - Epoch [4/128][14/20], lr:0.004, eta: 0:18:05, data_time: 0.22, iter_time: 0.22, loss: 0.0826
